ID,Context_emotion,Human_response_emotion,FT_response_emotion,GPT_response_emotion,Human_response_emotion_similarity,FT_response_emotion_similarity,GPT_response_emotion_similarity
context_1,"{'anger': 0.5361482501029968, 'disgust': 0.4182201325893402, 'fear': 0.006179573480039835, 'joy': 0.0009930531959980726, 'neutral': 0.021029723808169365, 'sadness': 0.014799172058701515, 'surprise': 0.00263007590547204}","{'anger': 0.046596333384513855, 'disgust': 0.0774644985795021, 'fear': 0.013792159967124462, 'joy': 0.002200192306190729, 'neutral': 0.8391308188438416, 'sadness': 0.014356471598148346, 'surprise': 0.006459500640630722}","{'anger': 0.04195469990372658, 'disgust': 0.017391009256243706, 'fear': 0.052641257643699646, 'joy': 0.021687764674425125, 'neutral': 0.8482077121734619, 'sadness': 0.005401975940912962, 'surprise': 0.012715655378997326}","{'anger': 0.04743139073252678, 'disgust': 0.05740058794617653, 'fear': 0.007450778968632221, 'joy': 0.013905437663197517, 'neutral': 0.8619837760925293, 'sadness': 0.009758803062140942, 'surprise': 0.002069216687232256}",0.13114476233888006,0.08295663110618323,0.11508556026172512
context_2,"{'anger': 0.05023486167192459, 'disgust': 0.10776161402463913, 'fear': 0.03411497175693512, 'joy': 0.003376235254108906, 'neutral': 0.02978956513106823, 'sadness': 0.7731253504753113, 'surprise': 0.0015973838744685054}","{'anger': 0.26319387555122375, 'disgust': 0.19966182112693787, 'fear': 0.04229375347495079, 'joy': 0.003480959916487336, 'neutral': 0.10170439630746841, 'sadness': 0.38500410318374634, 'surprise': 0.0046611204743385315}","{'anger': 0.4688662886619568, 'disgust': 0.05566466227173805, 'fear': 0.04016975313425064, 'joy': 0.00925641879439354, 'neutral': 0.36631274223327637, 'sadness': 0.05708371475338936, 'surprise': 0.0026462890673428774}","{'anger': 0.15387572348117828, 'disgust': 0.049349457025527954, 'fear': 0.39688798785209656, 'joy': 0.016040503978729248, 'neutral': 0.28641101717948914, 'sadness': 0.09377457946538925, 'surprise': 0.0036606905050575733}",0.8281732820320805,0.182411189604185,0.26219399382830133
context_3,"{'anger': 0.3449470102787018, 'disgust': 0.07602421194314957, 'fear': 0.012410993687808514, 'joy': 0.005821420811116695, 'neutral': 0.023674221709370613, 'sadness': 0.5338356494903564, 'surprise': 0.0032865016255527735}","{'anger': 0.006482789758592844, 'disgust': 0.004116727504879236, 'fear': 0.0027745936531573534, 'joy': 0.005935639142990112, 'neutral': 0.010196502320468426, 'sadness': 0.9682673215866089, 'surprise': 0.0022264348808676004}","{'anger': 0.07154393941164017, 'disgust': 0.038285061717033386, 'fear': 0.018467368558049202, 'joy': 0.008024401031434536, 'neutral': 0.7311326265335083, 'sadness': 0.12401282787322998, 'surprise': 0.008533763699233532}","{'anger': 0.0018453107913956046, 'disgust': 0.009353818371891975, 'fear': 0.015556194819509983, 'joy': 0.004254017490893602, 'neutral': 0.0636693462729454, 'sadness': 0.8900278806686401, 'surprise': 0.015293445438146591}",0.8377224089591527,0.23297923882706306,0.8362272531995482
context_4,"{'anger': 0.010862728580832481, 'disgust': 0.012353779748082161, 'fear': 0.009321797639131546, 'joy': 0.010159567929804325, 'neutral': 0.025415727868676186, 'sadness': 0.926669180393219, 'surprise': 0.0052171689458191395}","{'anger': 0.003363547846674919, 'disgust': 0.006834088359028101, 'fear': 0.0034256153739988804, 'joy': 0.00766081502661109, 'neutral': 0.9686722755432129, 'sadness': 0.005030741915106773, 'surprise': 0.005012876354157925}","{'anger': 0.01775307208299637, 'disgust': 0.004665879532694817, 'fear': 0.001426602597348392, 'joy': 0.002077441429719329, 'neutral': 0.011417465284466743, 'sadness': 0.9480425715446472, 'surprise': 0.014616946689784527}","{'anger': 0.006608097814023495, 'disgust': 0.017858657985925674, 'fear': 0.0040011657401919365, 'joy': 0.0834348127245903, 'neutral': 0.8685745596885681, 'sadness': 0.014606640674173832, 'surprise': 0.004915973637253046}",0.03288174577208225,0.999699164027653,0.04548040697589195
context_5,"{'anger': 0.18347878754138947, 'disgust': 0.3578062951564789, 'fear': 0.007706531789153814, 'joy': 0.012867293320596218, 'neutral': 0.3733702301979065, 'sadness': 0.06114351004362106, 'surprise': 0.0036272865254431963}","{'anger': 0.009827109053730965, 'disgust': 0.020999955013394356, 'fear': 0.0019317959668114781, 'joy': 0.037746693938970566, 'neutral': 0.9211320877075195, 'sadness': 0.004801755305379629, 'surprise': 0.0035606229212135077}","{'anger': 0.04722684621810913, 'disgust': 0.007392889820039272, 'fear': 0.011854873970150948, 'joy': 0.11188729107379913, 'neutral': 0.7518605589866638, 'sadness': 0.04686419665813446, 'surprise': 0.02291340008378029}","{'anger': 0.8218740820884705, 'disgust': 0.024479800835251808, 'fear': 0.00139974569901824, 'joy': 0.003004435682669282, 'neutral': 0.13299991190433502, 'sadness': 0.01331245992332697, 'surprise': 0.0029295682907104492}",0.6950671033145842,0.7031084966977241,0.45659571209456673
context_6,"{'anger': 0.061364367604255676, 'disgust': 0.5182636976242065, 'fear': 0.046192463487386703, 'joy': 0.009685738943517208, 'neutral': 0.3080116808414459, 'sadness': 0.038992539048194885, 'surprise': 0.017489470541477203}","{'anger': 0.10871993750333786, 'disgust': 0.09129038453102112, 'fear': 0.12517648935317993, 'joy': 0.033244114369153976, 'neutral': 0.5473209619522095, 'sadness': 0.027167290449142456, 'surprise': 0.06708084791898727}","{'anger': 0.008060063235461712, 'disgust': 0.0011632031528279185, 'fear': 0.02735293284058571, 'joy': 0.03468049317598343, 'neutral': 0.8325058817863464, 'sadness': 0.025400705635547638, 'surprise': 0.07083676010370255}","{'anger': 0.006569205317646265, 'disgust': 0.020993851125240326, 'fear': 0.005083862692117691, 'joy': 0.016344016417860985, 'neutral': 0.9385695457458496, 'sadness': 0.008722911588847637, 'surprise': 0.003716664155945182}",0.6482358273059634,0.5123690769115714,0.5263557296907255
context_7,"{'anger': 0.0014985024463385344, 'disgust': 0.004368392750620842, 'fear': 0.006581534165889025, 'joy': 0.0010413770796731114, 'neutral': 0.012150666676461697, 'sadness': 0.9721993803977966, 'surprise': 0.002160116331651807}","{'anger': 0.057267915457487106, 'disgust': 0.03450395166873932, 'fear': 0.10129407048225403, 'joy': 0.012411619536578655, 'neutral': 0.6714426875114441, 'sadness': 0.11243762820959091, 'surprise': 0.01064213551580906}","{'anger': 0.005883648060262203, 'disgust': 0.012363415211439133, 'fear': 0.1524295210838318, 'joy': 0.019749347120523453, 'neutral': 0.11118593066930771, 'sadness': 0.6950784921646118, 'surprise': 0.0033096405677497387}","{'anger': 0.0011386696714907885, 'disgust': 0.005349094979465008, 'fear': 0.007673109415918589, 'joy': 0.006724930834025145, 'neutral': 0.03374256193637848, 'sadness': 0.9406918287277222, 'surprise': 0.004679749719798565}",0.17605603481624876,0.9679094800123019,0.9997033324182657
context_8,"{'anger': 0.4081568717956543, 'disgust': 0.30993354320526123, 'fear': 0.0166977196931839, 'joy': 0.004863183479756117, 'neutral': 0.18016216158866882, 'sadness': 0.044090986251831055, 'surprise': 0.036095649003982544}","{'anger': 0.07311787456274033, 'disgust': 0.18160562217235565, 'fear': 0.020115964114665985, 'joy': 0.005070117302238941, 'neutral': 0.6950547695159912, 'sadness': 0.020979421213269234, 'surprise': 0.004056299105286598}","{'anger': 0.8634815812110901, 'disgust': 0.020261453464627266, 'fear': 0.003860868513584137, 'joy': 0.0016631291946396232, 'neutral': 0.08502189815044403, 'sadness': 0.017111489549279213, 'surprise': 0.008599609136581421}","{'anger': 0.4183991849422455, 'disgust': 0.30851832032203674, 'fear': 0.011755650863051414, 'joy': 0.0028937277384102345, 'neutral': 0.24007585644721985, 'sadness': 0.01663529872894287, 'surprise': 0.0017220699228346348}",0.538746884982269,0.7907953621791654,0.992081672458931
context_9,"{'anger': 0.2648053765296936, 'disgust': 0.14428593218326569, 'fear': 0.024639829993247986, 'joy': 0.03186095133423805, 'neutral': 0.35909777879714966, 'sadness': 0.12224618345499039, 'surprise': 0.05306392163038254}","{'anger': 0.06717490404844284, 'disgust': 0.7049173712730408, 'fear': 0.01714635081589222, 'joy': 0.01297373790293932, 'neutral': 0.11258592456579208, 'sadness': 0.0717957615852356, 'surprise': 0.013405910693109035}","{'anger': 0.002178496215492487, 'disgust': 0.00029367016395553946, 'fear': 0.988714873790741, 'joy': 0.0020376485772430897, 'neutral': 0.002345575485378504, 'sadness': 0.0031419373117387295, 'surprise': 0.0012878378620371222}","{'anger': 0.004703742451965809, 'disgust': 0.0036088288761675358, 'fear': 0.9628340601921082, 'joy': 0.001707169460132718, 'neutral': 0.02161267399787903, 'sadness': 0.003999268636107445, 'surprise': 0.0015341236721724272}",0.48270943122983634,0.05446309007690975,0.07190713035215246
context_10,"{'anger': 0.024543706327676773, 'disgust': 0.07567115128040314, 'fear': 0.007612249813973904, 'joy': 0.0019362755119800568, 'neutral': 0.02925533428788185, 'sadness': 0.8577631711959839, 'surprise': 0.0032181304413825274}","{'anger': 0.2206791639328003, 'disgust': 0.14351822435855865, 'fear': 0.016604388132691383, 'joy': 0.005357896443456411, 'neutral': 0.5524912476539612, 'sadness': 0.04160741716623306, 'surprise': 0.01974163018167019}","{'anger': 0.01652149111032486, 'disgust': 0.013750706799328327, 'fear': 0.017877085134387016, 'joy': 0.0032089489977806807, 'neutral': 0.9261770844459534, 'sadness': 0.013205688446760178, 'surprise': 0.009258988313376904}","{'anger': 0.03921395540237427, 'disgust': 0.10827624052762985, 'fear': 0.003742150729522109, 'joy': 0.07203994691371918, 'neutral': 0.18839561939239502, 'sadness': 0.5839315056800842, 'surprise': 0.004400553647428751}",0.1291089837761571,0.05012417886103182,0.9520203731502441
